task_id,t1,t2,t3,t4,t5,response_ms,db_time_ms,non_db_time_ms,deadline_hit,in_burst
87,43000,43005.35534870474,43005.35534870474,43035.91504200926,43035.91504200926,35.915042009262834,30.55969330452032,5.355348704742514,True,False
88,43500,43504.90396164109,43504.90396164109,43530.21983734731,43530.21983734731,30.219837347307475,25.31587570621637,4.903961641091104,True,False
89,44000,44004.46435339741,44004.46435339741,44044.02658897629,44044.02658897629,44.02658897628862,39.562235578877086,4.464353397411536,True,False
90,44500,44505.18804580429,44505.18804580429,44534.790969854424,44534.790969854424,34.790969854424475,29.602924050136583,5.188045804287892,True,False
91,45000,45005.39181992799,45005.39181992799,45029.720553062,45029.720553062,29.720553061997634,24.328733134013714,5.391819927983921,True,False
92,45500,45504.29063014077,45504.29063014077,45528.721509718074,45528.721509718074,28.72150971807423,24.430879577303088,4.2906301407711425,True,False
93,46000,46005.93579457823,46005.93579457823,46024.034944268344,46024.034944268344,24.03494426834368,18.099149690114515,5.935794578229164,True,False
94,46500,46504.61579745012,46504.61579745012,46531.41288088496,46531.41288088496,31.412880884956394,26.797083434837237,4.615797450119157,True,False
95,47000,47005.245166640656,47005.245166640656,47037.39713427414,47037.39713427414,37.397134274142445,32.15196763348597,5.245166640656478,True,False
96,47500,47504.12170977338,47504.12170977338,47523.369198969165,47523.369198969165,23.369198969165154,19.247489195782173,4.121709773382982,True,False
97,48000,48004.243160224025,48004.243160224025,48036.402574361826,48036.402574361826,36.40257436182583,32.15941413780202,4.243160224023811,True,False
98,48500,48505.42277685984,48505.42277685984,48528.47071297679,48528.47071297679,28.47071297679213,23.04793611694719,5.422776859844937,True,False
99,49000,49004.49878143037,49004.49878143037,49025.09828371861,49025.09828371861,25.09828371860931,20.599502288244278,4.498781430365032,True,False
100,49500,49505.49189528741,49505.49189528741,49531.04849223972,49531.04849223972,31.04849223972269,25.556596952313317,5.491895287409374,True,False
101,50000,50005.93943444817,50005.93943444817,50033.40716019538,50033.40716019538,33.40716019537649,27.467725747207467,5.939434448169024,True,False
102,50500,50505.740566594985,50505.740566594985,50541.48893559695,50541.48893559695,41.48893559694989,35.74836900196743,5.740566594982454,True,False
103,51000,51005.8747860617,51005.8747860617,51022.59640984357,51022.59640984357,22.596409843572474,16.72162378187461,5.874786061697865,True,False
104,51500,51504.981702353274,51504.981702353274,51530.10121833145,51530.10121833145,30.1012183314524,25.119515978175702,4.981702353276699,True,False
105,52000,52004.97702730737,52004.97702730737,52032.2514194155,52032.2514194155,32.251419415501005,27.2743921081374,4.977027307363606,True,False
106,52500,52505.30463786757,52505.30463786757,52518.405528826115,52518.405528826115,18.405528826115187,13.100890958545879,5.304637867569308,True,False
107,53000,53005.616434100346,53005.616434100346,53040.489391938405,53040.489391938405,40.48939193840488,34.87295783805795,5.616434100346929,True,False
108,53500,53505.52666812574,53505.52666812574,53530.38582807301,53530.38582807301,30.385828073012817,24.85915994727372,5.526668125739096,True,False
109,54000,54005.7027853047,54005.7027853047,54031.29681272345,54031.29681272345,31.296812723448966,25.594027418750112,5.702785304698853,True,False
110,54500,54505.74639667852,54505.74639667852,54532.33356684303,54532.33356684303,32.333566843029985,26.58717016450566,5.746396678524324,True,False
111,55000,55005.55243612253,55005.55243612253,55023.99448786445,55023.99448786445,23.99448786445282,18.44205174191755,5.552436122535273,True,False
112,55500,55504.083223503476,55504.083223503476,55535.08900395068,55535.08900395068,35.08900395067758,31.005780447200383,4.083223503477196,True,False
113,56000,56004.85818848142,56004.85818848142,56031.61780199892,56031.61780199892,31.617801998916548,26.7596135174994,4.858188481417148,True,False
114,56500,56505.52516325359,56505.52516325359,56517.2872604065,56517.2872604065,17.287260406497808,11.762097152909725,5.525163253588083,True,False
115,57000,57004.7124900967,57004.7124900967,57035.73929006327,57035.73929006327,35.739290063269436,31.02679996656551,4.712490096703927,True,False
116,57500,57505.824670672555,57505.824670672555,57519.35544507558,57519.35544507558,19.355445075576426,13.530774403022875,5.824670672553552,True,False
117,58000,58005.54652860438,58005.54652860438,58028.989287252254,58028.989287252254,28.989287252254144,23.44275864787764,5.546528604376505,True,False
118,58500,58504.858895453755,58504.858895453755,58533.79756267693,58533.79756267693,33.79756267693301,28.938667223176942,4.85889545375607,True,False
119,59000,59005.92825078224,59005.92825078224,59032.50177435565,59032.50177435565,32.50177435565274,26.573523573406558,5.9282507822461845,True,False
120,59500,59505.46642571918,59505.46642571918,59536.55531667377,59536.55531667377,36.55531667377363,31.088890954592244,5.466425719181387,True,False
