task,scheduled_us,start_us,latency_us,exec_us
Sensor,1767954763012042,1767954766235731,3223689,2001
Sensor,1767954763212042,1767954766449472,3237430,2002
Sensor,1767954763412042,1767954766658564,3246522,2005
Sensor,1767954763612042,1767954766866993,3254951,2003
Sensor,1767954763812042,1767954767076149,3264107,2003
Sensor,1767954764012042,1767954767284596,3272554,2003
Sensor,1767954764212042,1767954767496695,3284653,2000
Sensor,1767954764412042,1767954767706539,3294497,2004
Sensor,1767954764612042,1767954767915745,3303703,2004
Sensor,1767954764812042,1767954768125751,3313709,2001
Sensor,1767954765012042,1767954768334717,3322675,2004
Sensor,1767954765212042,1767954768547757,3335715,2000
Sensor,1767954765412042,1767954768757709,3345667,2004
Sensor,1767954765612042,1767954768965024,3352982,2004
Sensor,1767954765812042,1767954769176025,3363983,2002
Sensor,1767954766012042,1767954769386259,3374217,2004
Sensor,1767954766212042,1767954769600836,3388794,2001
Sensor,1767954766412042,1767954769811036,3398994,2006
Sensor,1767954766612042,1767954770022177,3410135,2004
Sensor,1767954766812042,1767954770232524,3420482,2004
Sensor,1767954767012042,1767954770442405,3430363,2002
Sensor,1767954767212042,1767954770656741,3444699,2002
Sensor,1767954767412042,1767954770866607,3454565,2003
Sensor,1767954767612042,1767954771076197,3464155,2000
Sensor,1767954767812042,1767954771286511,3474469,2003
Sensor,1767954768012042,1767954771495249,3483207,2004
Sensor,1767954768212042,1767954771711232,3499190,2003
Sensor,1767954768412042,1767954771921188,3509146,2003
Sensor,1767954768612042,1767954772130231,3518189,2002
Sensor,1767954768812042,1767954772338529,3526487,2002
Sensor,1767954769012042,1767954772546733,3534691,2001
Sensor,1767954769212042,1767954772760290,3548248,2002
Sensor,1767954769412042,1767954772968820,3556778,2002
Sensor,1767954769612042,1767954773178397,3566355,2002
Sensor,1767954769812042,1767954773387699,3575657,2002
Sensor,1767954770012042,1767954773597936,3585894,2003
Sensor,1767954770212042,1767954773811673,3599631,2001
Sensor,1767954770412042,1767954774023086,3611044,2004
Sensor,1767954770612042,1767954774232626,3620584,2004
Sensor,1767954770812042,1767954774443605,3631563,2006
Sensor,1767954771012042,1767954774653543,3641501,2003
Sensor,1767954771212042,1767954774867420,3655378,2002
Sensor,1767954771412042,1767954775077303,3665261,2003
Sensor,1767954771612042,1767954775286179,3674137,2003
Sensor,1767954771812042,1767954775495089,3683047,2006
Sensor,1767954772012042,1767954775706558,3694516,2004
Sensor,1767954772212042,1767954775921837,3709795,2003
Sensor,1767954772412042,1767954776133346,3721304,2002
Display,1767954716212042,1767954716219068,7026,1000
Display,1767954717212042,1767954717271852,59810,1000
Display,1767954718212042,1767954718309973,97931,1003
Display,1767954719212042,1767954719357548,145506,1001
Display,1767954720212042,1767954720407110,195068,1001
Display,1767954721212042,1767954721455959,243917,1002
Display,1767954722212042,1767954722492679,280637,1000
Display,1767954723212042,1767954723538942,326900,1002
Display,1767954724212042,1767954724587374,375332,1002
Display,1767954725212042,1767954725635310,423268,1002
Display,1767954726212042,1767954726682181,470139,1002
Display,1767954727212042,1767954727727285,515243,1001
Display,1767954728212042,1767954728774252,562210,1002
Display,1767954729212042,1767954729823421,611379,1001
Display,1767954730212042,1767954730873574,661532,1002
Display,1767954731212042,1767954731951930,739888,1001
Display,1767954732212042,1767954732991400,779358,1002
Display,1767954733212042,1767954734041317,829275,1001
Display,1767954734212042,1767954735087792,875750,1001
Display,1767954735212042,1767954736133783,921741,1001
Display,1767954736212042,1767954737287415,1075373,8000
Display,1767954737212042,1767954738446025,1233983,8000
Display,1767954738212042,1767954739606916,1394874,8000
Display,1767954739212042,1767954740768952,1556910,8000
Display,1767954740212042,1767954741925500,1713458,8001
Display,1767954741212042,1767954743087202,1875160,8001
Display,1767954742212042,1767954744251089,2039047,8001
Display,1767954743212042,1767954745413889,2201847,8002
Display,1767954744212042,1767954746511800,2299758,1002
Display,1767954745212042,1767954747562328,2350286,1001
Display,1767954746212042,1767954748613011,2400969,1002
Display,1767954747212042,1767954749662247,2450205,1001
Display,1767954748212042,1767954750708075,2496033,1003
Display,1767954749212042,1767954751755558,2543516,1002
Display,1767954750212042,1767954752802245,2590203,1000
Display,1767954751212042,1767954753853232,2641190,1002
Display,1767954752212042,1767954754900648,2688606,1002
Display,1767954753212042,1767954755949456,2737414,1001
Display,1767954754212042,1767954756999545,2787503,1002
Display,1767954755212042,1767954758049567,2837525,1002
Display,1767954756212042,1767954759100983,2888941,1002
Display,1767954757212042,1767954760153764,2941722,1001
Display,1767954758212042,1767954761205797,2993755,1000
Display,1767954759212042,1767954762258797,3046755,1002
Display,1767954760212042,1767954763308866,3096824,1002
Display,1767954761212042,1767954764357550,3145508,1001
Display,1767954762212042,1767954765405659,3193617,1000
Display,1767954763212042,1767954766451481,3239439,1002
Display,1767954764212042,1767954767498698,3286656,1000
Display,1767954765212042,1767954768549759,3337717,1000
Display,1767954766212042,1767954769602842,3390800,1002
Display,1767954767212042,1767954770658753,3446711,1002
Display,1767954768212042,1767954771713243,3501201,1002
Display,1767954769212042,1767954772762296,3550254,1000
Display,1767954770212042,1767954773813684,3601642,1002
Display,1767954771212042,1767954774869428,3657386,1001
Display,1767954772212042,1767954775923847,3711805,1000
