task,scheduled_us,start_us,latency_us,exec_us,deadline_ms,result
SoilTask,1768358852877281,1768358852890501,13220,5002,500,HIT
SoilTask,1768358853377281,1768358853390271,12990,5003,500,HIT
SoilTask,1768358853877281,1768358853888151,10870,5003,500,HIT
SoilTask,1768358854377281,1768358854387133,9852,5002,500,HIT
SoilTask,1768358854877281,1768358854884963,7682,5004,500,HIT
SoilTask,1768358855377281,1768358855385714,8433,5001,500,HIT
SoilTask,1768358855877281,1768358855886522,9241,5003,500,HIT
SoilTask,1768358856377281,1768358856388173,10892,5002,500,HIT
SoilTask,1768358856877281,1768358856884634,7353,5000,500,HIT
SoilTask,1768358857377281,1768358857384570,7289,5003,500,HIT
SoilTask,1768358857877281,1768358857892587,15306,5002,500,HIT
Display,1768358798377281,1768358798388314,11033,10001,1000,HIT
Display,1768358799377281,1768358799392952,15671,10001,1000,HIT
Display,1768358800377281,1768358800396422,19141,10002,1000,HIT
Display,1768358801377281,1768358801388730,11449,10004,1000,HIT
Display,1768358802377281,1768358802396791,19510,10004,1000,HIT
Display,1768358803377281,1768358803389644,12363,10000,1000,HIT
Display,1768358804377281,1768358804391939,14658,10001,1000,HIT
Display,1768358805377281,1768358805397501,20220,10001,1000,HIT
Display,1768358806377281,1768358806397145,19864,10003,1000,HIT
Display,1768358807377281,1768358807391626,14345,10000,1000,HIT
Display,1768358808377281,1768358808392869,15588,10002,1000,HIT
Display,1768358809377281,1768358809389145,11864,10002,1000,HIT
Display,1768358810377281,1768358810389367,12086,10002,1000,HIT
Display,1768358811377281,1768358811395701,18420,10000,1000,HIT
Display,1768358812377281,1768358812396801,19520,10002,1000,HIT
Display,1768358813377281,1768358813397358,20077,10002,1000,HIT
Display,1768358814377281,1768358814390264,12983,10002,1000,HIT
Display,1768358815377281,1768358815394495,17214,10002,1000,HIT
Display,1768358816377281,1768358816396462,19181,10000,1000,HIT
Display,1768358817377281,1768358817391819,14538,10000,1000,HIT
Display,1768358818377281,1768358818390663,13382,10000,1000,HIT
Display,1768358819377281,1768358819388587,11306,10000,1000,HIT
Display,1768358820377281,1768358820397923,20642,10000,1000,HIT
Display,1768358821377281,1768358821397247,19966,10000,1000,HIT
Display,1768358822377281,1768358822395599,18318,10000,1000,HIT
Display,1768358823377281,1768358823394736,17455,10001,1000,HIT
Display,1768358824377281,1768358824394398,17117,10001,1000,HIT
Display,1768358825377281,1768358825392620,15339,10000,1000,HIT
Display,1768358826377281,1768358826397534,20253,10000,1000,HIT
Display,1768358827377281,1768358827393887,16606,10003,1000,HIT
Display,1768358828377281,1768358828397723,20442,10002,1000,HIT
Display,1768358829377281,1768358829388455,11174,10001,1000,HIT
Display,1768358830377281,1768358830397611,20330,10002,1000,HIT
Display,1768358831377281,1768358831392449,15168,10003,1000,HIT
Display,1768358832377281,1768358832397169,19888,10002,1000,HIT
Display,1768358833377281,1768358833398440,21159,10003,1000,HIT
Display,1768358834377281,1768358834395317,18036,10002,1000,HIT
Display,1768358835377281,1768358835390489,13208,10002,1000,HIT
Display,1768358836377281,1768358836398203,20922,10002,1000,HIT
Display,1768358837377281,1768358837391571,14290,10002,1000,HIT
Display,1768358838377281,1768358838393983,16702,10000,1000,HIT
Display,1768358839377281,1768358839396249,18968,10002,1000,HIT
Display,1768358840377281,1768358840390591,13310,10000,1000,HIT
Display,1768358841377281,1768358841389830,12549,10002,1000,HIT
Display,1768358842377281,1768358842393078,15797,10000,1000,HIT
Display,1768358843377281,1768358843388877,11596,10001,1000,HIT
Display,1768358844377281,1768358844396646,19365,10003,1000,HIT
Display,1768358845377281,1768358845389115,11834,10003,1000,HIT
Display,1768358846377281,1768358846394519,17238,10002,1000,HIT
Display,1768358847377281,1768358847395557,18276,10002,1000,HIT
Display,1768358848377281,1768358848395184,17903,10003,1000,HIT
Display,1768358849377281,1768358849394428,17147,10002,1000,HIT
Display,1768358850377281,1768358850396777,19496,10003,1000,HIT
Display,1768358851377281,1768358851390276,12995,10002,1000,HIT
Display,1768358852377281,1768358852392765,15484,10001,1000,HIT
Display,1768358853377281,1768358853395287,18006,10002,1000,HIT
Display,1768358854377281,1768358854392142,14861,10002,1000,HIT
Display,1768358855377281,1768358855390720,13439,10000,1000,HIT
Display,1768358856377281,1768358856393183,15902,10008,1000,HIT
Display,1768358857377281,1768358857389582,12301,10004,1000,HIT
